id,question,answer,answer_chars,answer_words_approx
15,ශ්‍රී ලංකාවේ සාම්ප්‍රදායික ඇඳුම් ලෙස ඔසරිය සහ සාරිය භාවිතය ගැන පැහැදිලි කරන්න.,ශ්‍රී ලංකාවේ සාම්ප්‍රදායික ඇඳුම් ලෙස ඔසරිය සහ සාරිය භාවිතා වේ. ඔසරිය යනු මිනිසුන් තම පාද ආවරණය කිරීමට භාවිතා කරන පාද ආවරණයකි. එය සාමාන්‍යයෙන් රෝද පාට හ,151,26
16,නිලමේ ඇඳුම සහ කන්දියන් ඇඳුම් සම්ප්‍රදාය ගැන කියන්න.,"නිලමේ ඇඳුම සහ කන්දියන් ඇඳුම් සම්ප්‍රදාය ගැන කියන්න.

නිලමේ ඇඳුම සහ කන්දියන් ඇඳුම් සම්ප්‍රදාය ගැන කියන්න.

නිලමේ ඇඳුම සහ කන්දියන් ඇඳුම් සම්ප්‍රදාය ගැන කියන්න.

න",160,25
17,ශ්‍රී ලංකාවේ විවාහ චාරිත්‍රවල පෝරුwa උත්සවයේ අර්ථය කුමක්ද?,පෝරුවා යනු ශ්‍රී ලංකාවේ විවාහ චාරිත්‍රයේ ප්‍රධාන අංගයකි. එය මිනිසුන් තම ජීවිතයේ අනෙකුත් අංග සමඟ එකට සිටීමට පෙර ඔවුන්ගේ ආත්මයන් එක් එක් අංගයක් ලෙස පෙ,148,25
18,පොරුwa චාරිත්‍රයේදී කරන සම්ප්‍රදායික ක්‍රියා කිහිපයක් කියන්න.,"පොරුවා චාරිත්‍රයේදී කරන සම්ප්‍රදායික ක්‍රියා කිහිපයක් මෙන්න.
1. පොරුවා යනු පොරුවෙකුගේ පියා වූ පොරුවා පියාගේ පියා වූ පොරුවා පියාගේ පියා වූ පොරුවා ප�",147,23
19,ශ්‍රී ලංකාවේ දෙමළ විවාහ සම්ප්‍රදායන්හි විශේෂ ලක්ෂණ මොනවාද?,ශ්‍රී ලංකාවේ දෙමළ විවාහ සම්ප්‍රදායන් යනු දෙමළ පවුල් අතර සම්බන්ධතාවය සහ ආදරය ප්‍රකාශ කිරීමට භාවිතා කරන සංස්කෘතික විවාහ උත්සවයකි. එය සාමාන්‍යයෙන් දෙමළ පව,151,23
20,මුස්ලිම් ප්‍රජාවගේ උත්සව හා ආගමික චාරිත්‍ර ශ්‍රී ලංකා සංස්කෘතියට දායක වන්නේ කෙසේද?,මුස්ලිම් ප්‍රජාව ශ්‍රී ලංකාවේ මුස්ලිම් ප්‍රජාව ශ්‍රී ලංකාවේ මුස්ලිම් ප්‍රජාව ශ්‍රී ලංකාවේ මුස්ලිම් ප්‍රජාව ශ්‍රී ලංකාවේ මුස්ලිම් ප්‍රජාව ශ,138,19
21,ක්‍රිස්තියානි උත්සව වන නත්තල් හා පාස්කු ශ්‍රී ලංකාවේ සැමරෙන ආකාරය ගැන කියන්න.,නත්තල් සැමරුම ශ්‍රී ලංකාවේ මිනිසුන් පුදුමයට පත් වන උත්සවයකි. එය පැවැත්වෙන්නේ රෝම ඉස්ලාමියානු පාස්කු උත්සවයෙන් පසු ය. නත්තල් උත්සවය පැවැත්වෙන්නේ පාස්කු,150,21
22,ශ්‍රී ලංකාවේ බහු ආගමික හා බහු සංස්කෘතික සමාජයක් ලෙස ඇති විශේෂත්වය කුමක්ද?,"ශ්‍රී ලංකාව යනු බහු ආගමික හා බහු සංස්කෘතික සමාජයක් ලෙස ප්‍රසිද්ධය. එහි ජනගහනයට බොහෝ ආගම් ඇති අතර එය මූලික වශයෙන් බුද්ධිස්ථාන, ක්‍රිස්තියානි සහ ඉස්ලාම්",150,24
23,ශ්‍රී ලංකාවේ ආයුබෝවන් කියන ආචාරයේ සංස්කෘතික අර්ථය කුමක්ද?,"ශ්‍රී ලංකාවේ ආයුබෝවන් කියන ආචාරයේ සංස්කෘතික අර්ථය යන්න පිළිබඳ මෙම ප්‍රශ්නයට පිළිතුරු දීමට මම උපකාර කළ හැකි ප්‍රධාන සංස්කෘතික අර්ථය පහත දැක්වේ.

ශ්‍රී �",151,24
24,වැඩිහිටියන්ට ගරු කිරීම ශ්‍රී ලංකා පවුල් සංස්කෘතියේ කෙසේ පෙන්නුම් කරන්නේද?,"වැඩිහිටියන්ට ගරු කිරීම ශ්‍රී ලංකා පවුල් සංස්කෘතියේ ප්‍රධාන අගයක් වන අතර එය පවුලේ සාමාජිකයන් අතර ආදරය, ආරක්ෂාව සහ අන්‍යෝන්‍ය ආරක්ෂාව පෙන්නුම් කරයි. පවුල",151,23
25,ගමේ පන්සල ශ්‍රී ලංකාවේ සමාජ ජීවිතයේ මධ්‍යස්ථානයක් වන්නේ කෙසේද?,ගමේ පන්සල ශ්‍රී ලංකාවේ සමාජ ජීවිතයේ මධ්‍යස්ථානයක් වන්නේ එය පුරාණ කාලයේ ආරම්භ වූ අතර එය රටේ ජනප්‍රිය ආහාර වේලක් වන බැවිනි. එය පුරාණ දේශීය ආහාර වේලක් වන,150,27
26,ගමේ දේවාල හා කොවිල් උත්සව ගම්මාන ජීවිතයට බලපාන ආකාරය කියන්න.,ගමේ දේවාල හා කොවිල් උත්සව ගම්මාන ජීවිතයට විශාල බලපෑමක් ඇති කරයි. මෙම උත්සව ගම්මාන ජනතාව සම්බන්ධ කර ගැනීමට සහ ඔවුන්ගේ ඉතිහාසය සහ සංස්කෘතිය ප්රකාශ කිරීමට වැදග,156,26
27,ශ්‍රී ලංකාවේ සාම්ප්‍රදායික ආහාර සංස්කෘතියේ බත් සහ කරි වැදගත් වන්නේ ඇයි?,ශ්‍රී ලංකාවේ සාම්ප්‍රදායික ආහාර සංස්කෘතියේ බත් සහ කරි වැදගත් වන්නේ එය රටේ ජනප්‍රිය ආහාර වේලක් වන අතර එය රටේ ජනප්‍රිය ආහාර වේලක් වන අතර එය රටේ ජනප්‍රිය �,152,28
28,"හොප්පර්ස්, ඉඳිආප්ප, පොල් සම්බෝල වැනි ආහාර ශ්‍රී ලාංකික අනන්‍යතාවයට සම්බන්ධ වන්නේ කෙසේද?","හොප්පර්ස්, ඉඳිආප්ප, පොල් සම්බෝල වැනි ආහාර ශ්‍රී ලාංකික අනන්‍යතාවයට සම්බන්ධ වන්නේ ඒවා මූලික වශයෙන් පොල් වලින් සාදන ලද ආහාර වේලෙහි ය. පොල් වලින් සාදන �",149,25
29,"ලැම්ප්රයිස්, කොත්තු, වට්ටලප්පන් වැනි ආහාර ශ්‍රී ලංකාවේ බහු සංස්කෘතික බලපෑම් පෙන්නුම් කරන්නේ කෙසේද?","ලැම්ප්‍රයිස්, කොත්තු සහ වට්ටලප්පන් යන ආහාර ශ්‍රී ලංකාවේ බහු සංස්කෘතික බලපෑම් පෙන්නුම් කරයි. මෙම ආහාර විවිධ සංස්කෘතීන් සහ භාෂා අතර ජාතික ආහාර වේ. උදාහරණ",151,24
30,ශ්‍රී ලංකාවේ තේ සංස්කෘතිය සහ අමුත්තන් පිළිගැනීම අතර සම්බන්ධය කුමක්ද?,ශ්‍රී ලංකාවේ තේ සංස්කෘතිය අමුත්තන් පිළිගැනීමට වැදගත් කාර්යභාරයක් ඉටු කරයි. තේ යනු මිනිසුන් අතර සම්බන්ධතා ස්ථාපිත කිරීමට සහ ප්‍රවර්ධනය කිරීමට භාවිතා කරන �,153,23
31,ගෙදරට අමුත්තන් ආවම කෑමපාන දීමේ සම්ප්‍රදාය ගැන කියන්න.,ගෙදරට අමුත්තන් ආවම කෑමපාන දීමේ සම්ප්‍රදාය ගෙදර යන්නෙන් අදහස් කරන්නේ මිනිසුන් අතර පවුල් සම්බන්ධතාවය පිළිබඳ සම්ප්‍රදායයකි. මෙම සම්ප්‍රදාය පුරාණ දේශපාලන සම්ප,154,21
32,ශ්‍රී ලංකාවේ ජනකතා හා ජනපද ගීවල සංස්කෘතික වටිනාකම කුමක්ද?,ශ්‍රී ලංකාවේ ජනකතා හා ජනපද ගීවල සංස්කෘතික වටිනාකම යනු රටේ මූලික සාහිත්‍යය සහ සංස්කෘතිය වන අතර එය පුරාණ ජනතාවගේ ආත්මය සහ අදහස් ප්‍රකාශ කරයි. මෙම කථා සහ ගී,153,28
33,"කොහොමද නාඩගම, කොලම්, සොකාරි වැනි රංග කලාවන් ඉතිහාසය සහ සමාජය පිළිබිඹු කරන්නේ?","නාඩගම, කොලම් සහ සොකාරි යන සියල්ල රූපවාහිනී නිෂ්පාදන සහ මාධ්‍ය ප්‍රවණතා පිළිබිඹු කරන රූප කලාවේ අත්‍යවශ්‍ය අංග වේ. නාඩගම යනු ප්‍රධාන චරිතයක් හෝ චරිතයක් �",151,25
34,ශ්‍රී ලංකාවේ දරුවන්ට කුඩා වියේ සිට උගන්වන සාම්ප්‍රදායික සිරිත් විරිත් කිහිපයක් කියන්න.,"1. මිනිසුන් තම පියාපත් පිරිසිදු කළ යුතුය.
2. මිනිසුන් තම පියාපත් පිරිසිදු කළ යුතුය.
3. මිනිසුන් තම පියාපත් පිරිසිදු කළ යුතුය.
4. මිනිසුන් තම පියාපත් පිරි",153,26
35,"පන්සල්, කොවිල්, පල්ලිය, පල්ලිය වැනි ආගමික ස්ථාන සම්බන්ධයෙන් ගරු කළ යුතු සම්ප්‍රදායන් මොනවාද?","පන්සල්, කොවිල්, පල්ලිය, පල්ලිය වැනි ආගමික ස්ථාන සම්බන්ධයෙන් ගරු කළ සම්ප්‍රදායන් පහත දැක්වේ.
1. පන්සල් සම්බන්ධයෙන් ගරු කළ සම්ප්‍රදාය
පන්සල් යනු පුරාණ ඉන්දියා",156,23
36,ශ්‍රී ලංකාවේ පෝය දිනවල සාමාන්‍යයෙන් ජන ජීවිතයේ වෙනස්කම් මොනවාද?,"ශ්‍රී ලංකාවේ පෝය දිනවල සාමාන්‍යයෙන් ජන ජීවිතයේ වෙනස්කම් පහත දැක්වේ.

1. පෝය දිනය යනු රටේ ආගමික උත්සවයක් වන අතර එය පෝය දිනය පුරා ප්‍රධාන ක්‍රියාකාරකම් සහ ස",154,27
37,"ශ්‍රී ලංකාවේ ගොවි සංස්කෘතිය හා වැපිරීම, අස්වැන්න, උත්සව අතර සම්බන්ධය පැහැදිලි කරන්න.","ශ්‍රී ලංකාවේ ගොවි සංස්කෘතිය හා වැපිරීම, අස්වැන්න සහ උත්සව යන අංග එකට සම්බන්ධ වී ඇති අතර, ගොවි ජනතාව තම ජීවිතය සහ සමාජය පිළිබඳ ඔවුන්ගේ අදහස් සහ වටිනාකම�",151,27
38,"කිරි ඉතිරවීම, මුල් ගෙට පිවිසීම වැනි චාරිත්‍රවල අර්ථය කුමක්ද?",මෙම චාරිත්‍ර යනු රෝගියාගේ ආතතිය අඩු කිරීමට උපකාරී වන චාරිත්‍ර ප්‍රායෝගික ක්‍රම වේ. මෙම චාරිත්‍ර යනු රෝගියාගේ ආතතිය අඩු කිරීමට උපකාරී වන චාරිත්‍ර ප්‍,148,24
39,"ශ්‍රී ලංකාවේ උපන් දින, නමකරණ, පළමු අකුරු වැනි පවුල් චාරිත්‍ර ගැන කියන්න.","ශ්‍රී ලංකාවේ උපන් දින, නමකරණ, පළමු අකුරු වැනි පවුල් චාරිත්‍ර ගැන කියන්න.

1. උපන් දින චාරිත්‍රය
ශ්‍රී ලංකාවේ උපන් දින චාරිත්‍රය යනු පවුල් චාරිත්‍ර වලි",150,25
40,කතරගම යාත්‍රාව වැනි ආගමික සංචාර ශ්‍රී ලංකාවේ සංස්කෘතික එකමුතුව පෙන්නුම් කරන්නේ කෙසේද?,කතරගම යාත්‍රාව යනු මහා බුදුන් පිළිබඳ ආගමික සිහිකැඳවීම සහ බුදුදහමේ පූජාව ප්‍රකාශ කිරීමට උත්සාහ කරන ආගමික සංචාරයකි. මෙම යාත්‍රාව විවිධ ආගමික සංස්කෘතීන් �,151,23
41,"ශ්‍රී ලංකාවේ මුහුදුබඩ, කඳුකර, වියළි කලාප සංස්කෘතික වෙනස්කම් ගැන කෙටි පැහැදිලි කිරීමක් දෙන්න.","ශ්‍රී ලංකාවේ මුහුදුබඩ, කඳුකර සහ වියළි කලාප සංස්කෘතික වෙනස්කම් රාශියක් ඇත. මුහුදු බැඳීම සාමාන්‍යයෙන් ආහාර සහ ජල ප්‍රභවය සඳහා ප්‍රධාන වේ, එබැවින් මු",146,23
42,"ජනවාරි 4 නොව, පෙබරවාරි 4 වන නිදහස් දිනයේ සංස්කෘතික අර්ථය කුමක්ද?","පෙබරවාරි 4 නොව, ජනවාරි 4 වන නිදහස් දිනය යුරෝපයේ රටවල් බොහොමයක් තුළ නිදහස් දිනයක් වන අතර එය මිනිසුන්ගේ නිදහස සහ ප්‍රජාතන්ත්‍රවාදය පිළිබඳ අවධානය යොමු කරයි. �",155,26
43,ශ්‍රී ලංකාවේ ජාතික කොඩිය තුළ සංස්කෘතික සහ ආගමික නිරූපණයන් මොනවාද?,ශ්‍රී ලංකාවේ ජාතික කොඩිය තුළ සංස්කෘතික සහ ආගමික නිරූපණයන් අතර රාජධානියේ ජාතික ගිනිකොන සහ රාජධානියේ ජාතික ගිනිකොන ඇතුළත් වේ. රාජධානියේ ජාතික ගිනික,145,22
44,"අනුරාධපුර, පොළොන්නරුව, මහනුවර වැනි ඓතිහාසික නගර සංස්කෘතික උරුමයට දායක වන්නේ කෙසේද?","අනුරාධපුර, පොළොන්නරුව සහ මහනුවර යන සියල්ල එක්සත් රාජධානියේ ආර්ථික සහ සංස්කෘතික බලය පිළිබඳ ඉතිහාසයේ වැදගත් මූලාශ්‍ර වේ. එක්සත් රාජධානියේ ආර්ථික සහ සංස�",150,22
45,සිගිරිය සහ දඹුල්ල වැනි ස්ථාන ශ්‍රී ලංකාවේ කලාත්මක හා සංස්කෘතික උරුමය පිළිබඳ මොනවද කියන්නේ?,සිගිරිය සහ දඹුල්ල වැනි ස්ථාන ශ්‍රී ලංකාවේ කලාත්මක හා සංස්කෘතික උරුමය පිළිබඳ මොනවද කියන්නේ මෙම ස්ථාන පිළිබඳ දැනුම පිළිබඳ මොනවද යි. මෙම ස්ථාන පිළිබ�,146,24
46,ශ්‍රී ලංකාවේ හින්දු කොවිල් උත්සවවල වර්ණවත් සැරසිලි සහ පෙරහැරවල අර්ථය කුමක්ද?,ශ්‍රී ලංකාවේ හින්දු කොවිල් උත්සවවල වර්ණවත් සැරසිලි සහ පෙරහැර යනු පුද්ගලයන් තම ප්‍රීතිය සහ ආදරය ප්‍රකාශ කිරීමට සහ ඔවුන්ගේ ප්‍රීතිය සහ ආදරය ප්‍රකාශ කිරීමට,152,24
47,රමසාන් සහ ඊද් සැමරුම් ශ්‍රී ලාංකික මුස්ලිම් සංස්කෘතිය තුළ කෙසේ අත්විඳිනවාද?,රමසාන් සහ ඊද් යන දෙකම මුස්ලිම් ජනතාව විසින් සැමරූ දින වේ. රමසාන් යනු මුස්ලිම් ආගමේ ප්‍රධාන සැමරුම් දිනයකි. එය මුස්ලිම් ආගමේ ප්‍රධාන සැමරුම් දිනයකි. එය �,152,26
48,"බතික්, හස්ත කර්මාන්ත, ලක්ෂා කර්මාන්ත වැනි දේවල් ශ්‍රී ලංකාවේ සංස්කෘතික ආර්ථිකයට දායක වන්නේ කෙසේද?","ශ්‍රී ලංකාවේ සංස්කෘතික ආර්ථිකයට බතික්, හස්ත කර්මාන්ත සහ ලක්ෂා කර්මාන්ත දායක වේ. බතික් යනු මිනිස් ජීවිතයේ අත්‍යවශ්‍ය අංගයක් වන අතර එය බොහෝ විට ප්‍රජාව",149,24
49,ශ්‍රී ලංකාවේ පැරණි ගෘහ නිර්මාණ ශිල්පයේ සංස්කෘතික ලක්ෂණ කිහිපයක් පැහැදිලි කරන්න.,ශ්‍රී ලංකාවේ පැරණි ගෘහ නිර්මාණ ශිල්පය යනු පුරාණ මුහුදු ආක්‍රමණයට එරෙහිව පුරාණ ජනයාගේ අද්විතීය අවශ්‍යතා සපුරාලීම සඳහා වූ අද්විතීය ගෘහ නිර්මාණ ශිල්පයක,148,22
50,"ගමේ උත්සව, කානිවල්, ක්‍රීඩා සහ ජන සහභාගීත්වය අතර ඇති සම්බන්ධය කුමක්ද?","ගම්මානයේ උත්සව, කානිවල්, ක්‍රීඩා සහ ජන සහභාගීත්වය එකට සම්බන්ධ වූ අතර, මෙම සිදුවීම් තුළ ජනතාව එකට සම්බන්ධ කර ගැනීමට සහ එකට වැඩ කිරීමට උපකාරී වේ. උත්සව සහ කානි",157,28
51,"අවුරුදු කාලයේ කබඩි, කොට්ටපොර, කණාමුට්ටි බිඳීම වැනි ක්‍රීඩා සංස්කෘතිකව වැදගත් වන්නේ ඇයි?",අවුරුදු කාලයේ මෙම ක්‍රීඩා සංස්කෘතිකව වැදගත් වන්නේ ඒවා පුද්ගලයන් එකට සම්බන්ධ කර ගැනීමට උපකාරී වන අතර පුද්ගලයන් එකට වැඩ කිරීමට උපකාරී වන බැවිනි. මෙම ක්‍රීඩා,154,25
52,ශ්‍රී ලංකාවේ බොහෝ පවුල්වල ආහාර වේලකදී අත්වලින් කෑම කෑමට ඇති සංස්කෘතික හේතු මොනවාද?,"ශ්‍රී ලංකාවේ බොහෝ පවුල්වල ආහාර වේලකදී අත්වලින් කෑම කෑමට ඇති සංස්කෘතික හේතු පහත දැක්වේ.
1. පවුලේ සාමාජිකයන් අතර සම්බන්ධතාවය වැඩි කිරීමට සහ පවුලේ සාමාජිකය",152,24
53,ශ්‍රී ලංකාවේ භාෂා විවිධත්වය සංස්කෘතියට බලපාන ආකාරය පැහැදිලි කරන්න.,ශ්‍රී ලංකාවේ භාෂා විවිධත්වය සංස්කෘතියට විශාල බලපෑමක් ඇති කර ඇත. භාෂා විවිධත්වය මගින් රටේ ජනතාව අතර සම්බන්ධතා ගොඩනැගීමට සහ තේරීම් කිරීමට උපකාරී වේ. භා�,150,24
54,"සිංහල, දෙමළ, ඉංග්‍රීසි භාෂා එකට භාවිත වීම නාගරික සංස්කෘතියේ පෙනෙන ආකාරය කියන්න.","සිංහල, දෙමළ, ඉංග්‍රීසි භාෂා එකට භාවිත වීම නාගරික සංස්කෘතියේ පෙනෙන ආකාරය නාගරික සංස්කෘතියේ පෙනෙන ආකාරය නාගරික සංස්කෘතියේ පෙනෙන ආකාරය නාගරික සංස්කෘතිය�",149,21
55,"ශ්‍රී ලංකාවේ අතින් කරන සුබ පැතුම්, ආශිර්වාද, සහ ආචාර විධිවල සමාජීය වටිනාකම කුමක්ද?","ශ්‍රී ලංකාවේ අතින් කරන සුබ පැතුම්, ආශිර්වාද, සහ ආචාර විධි යන සමාජීය වටිනාකම මෙන්ම පුද්ගලයන් අතර සම්බන්ධතා සහ අන්තර් පුද්ගල අන්තර් ක්‍රියාකාරකම් තුළ අවධ�",152,24
